"AcousticSite","Year","ALL","EPTFUS_count","LASBOR_count","LASCIN_count","LASNOC_count","MYOLUC_count","MYOSEP_count","PERSUB_count","MYOLEI_count","MYOSOD_count","NYCHUM_count","CORRAF_count","ANTPAL_count","LASINT_count","TADBRA_count","Lat","Long","dist_to_water","water_size","num_nights","num_detectable_species"
"RadarS13A_Batman-LB1",2013,113,1,1,9,93,6,0,0,0,0,0,0,0,0,0,43.27495,-77.09467,1085.16714686038,18934.7,43,8
"RadarS13A_Batman-LB2",2013,1318,15,14,259,241,20,0,2,2,0,0,0,0,0,0,43.273603,-77.087758,1041.48494973242,6621.79,73,8
"RadarS13A_Robin-Russell2",2013,262,10,7,42,187,5,0,0,0,0,0,0,0,0,0,43.339984,-78.662501,1045.89883965869,18934.7,42,8
"RadarS13A_Robin-Russell3",2013,299,18,8,19,230,7,0,3,0,0,0,0,0,0,0,43.343877,-78.666167,535.043608493171,18934.7,42,8
"DERBYHILL",2013,14920,617,661,2889,8182,1555,4,173,8,0,0,0,0,0,0,43.525444,-76.2384,282.134882175447,0.09,109,8
"Forest-3mi",2013,9182,794,1220,3335,1752,770,16,374,0,0,0,0,0,0,0,43.516,-87.841,2705.64044363264,0.03,179,7
"RadarS13B_Robin-Batavia1",2013,153,8,7,78,52,2,0,0,0,0,0,0,0,0,0,43.04817,-78.17213,2267.03425042008,0.27,25,8
"RadarS13B_Robin-Batavia2",2013,191,12,10,110,50,1,0,1,0,0,0,0,0,0,0,43.05207,-78.16975,2664.10001671102,0.27,32,8
"RadarS13B_Robin-Batavia3",2013,377,49,14,112,124,20,3,10,1,0,0,0,0,0,0,43.04628,-78.16962,2020.46344255039,0.27,32,8
"RadarS13B_Batman-BLP1",2013,77,1,4,31,29,1,0,0,0,0,0,0,0,0,0,43.78525,-76.21017,171.545819046423,0.9,31,8
"RadarS13B_Batman-BLP2",2013,160,9,9,29,62,9,0,0,0,0,0,0,0,0,0,43.78489,-76.20699,424.334890596007,0.9,19,8
"2MILECREEKCA",2013,3773,588,376,762,1509,175,6,54,5,0,0,0,0,0,0,43.24937,-79.09032,1303.62005571747,18934.7,156,8
"50POINTCA",2013,5252,191,1121,1386,1472,71,0,80,6,0,0,0,0,0,0,43.22184,-79.62843,260.320636343486,18934.7,130,8
"RadarF13_BatRob-Darwin1",2013,3402,154,717,435,1101,431,2,165,0,0,0,0,0,0,0,43.887799,-87.750233,1305.45329098584,56693.27,88,7
"RadarF13_BatRob-Darwin2",2013,3345,43,820,486,1259,401,1,190,0,0,0,0,0,0,0,43.885976,-87.749917,1225.05754834903,56693.27,80,7
