"AcousticSite","Year","ALL","EPTFUS_count","LASBOR_count","LASCIN_count","LASNOC_count","MYOLUC_count","MYOSEP_count","PERSUB_count","MYOLEI_count","MYOSOD_count","NYCHUM_count","CORRAF_count","ANTPAL_count","LASINT_count","TADBRA_count","Lat","Long","dist_to_water","water_size","num_nights","num_detectable_species"
"B1",2010,751,4,77,77,120,368,2,38,0,0,0,0,0,0,0,43.4153,-93.071,8556.4577963552,0.07,84,7
"B1",2011,720,6,86,43,73,414,1,31,0,0,0,0,0,0,0,43.4153,-93.071,8556.4577963552,0.07,153,7
"B1",2012,296,0,32,47,25,156,0,18,0,0,0,0,0,0,0,43.4153,-93.071,8556.4577963552,0.07,62,7
"B2",2010,517,13,78,106,114,153,1,23,0,0,0,0,0,0,0,43.4155,-93.1263,5683.6150449728,0.04,87,7
"B2",2011,252,5,54,5,20,136,2,12,0,0,0,0,0,0,0,43.4155,-93.1263,5683.6150449728,0.04,182,7
"B2",2012,66,0,13,7,9,31,0,4,0,0,0,0,0,0,0,43.4155,-93.1263,5683.6150449728,0.04,46,7
"B3",2010,419,7,56,40,167,103,1,29,0,0,0,0,0,0,0,43.3691,-93.1042,4965.58950187907,0.04,83,7
"B3",2011,334,5,60,26,83,124,0,19,0,0,0,0,0,0,0,43.3691,-93.1042,4965.58950187907,0.04,161,7
"B3",2012,158,9,29,19,24,67,0,5,0,0,0,0,0,0,0,43.3691,-93.1042,4965.58950187907,0.04,55,7
"BM1500",2010,217,15,21,35,108,11,0,10,0,0,0,0,0,0,0,43.6964,-96.2397,4638.70822249597,0.05,91,7
"BM1500",2011,728,41,147,133,279,45,0,40,0,0,0,0,0,0,0,43.6964,-96.2397,4638.70822249597,0.05,191,7
"BM5K",2010,250,10,24,116,82,5,0,6,0,0,0,0,0,0,0,43.7028,-96.3021,8236.14060041453,0.07,97,7
"BMR",2010,82,3,14,23,29,4,1,2,0,0,0,0,0,0,0,43.6986,-96.2112,2761.7612079514,0.05,87,7
"BMR",2011,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,43.6986,-96.2112,2761.7612079514,0.05,26,7
"J1500",2010,153,9,19,45,51,10,0,15,0,0,0,0,0,0,0,43.7254,-95.0149,2252.96851219987,793.17,83,7
"J1500",2011,246,5,21,69,117,14,0,8,0,0,0,0,0,0,0,43.7254,-95.0149,2252.96851219987,793.17,179,7
"J500",2010,415,11,44,138,143,32,1,15,0,0,0,0,0,0,0,43.7182,-95.0279,961.095238905812,793.17,98,7
"J500",2011,324,8,59,88,124,11,0,10,0,0,0,0,0,0,0,43.7182,-95.0279,961.095238905812,793.17,172,7
"J5K",2010,345,12,45,124,110,20,1,18,0,0,0,0,0,0,0,43.7287,-94.9725,4689.13124146217,0.13,95,7
"JR",2010,2043,259,97,189,1196,93,2,34,0,0,0,0,0,0,0,43.7165,-95.0372,205.600211267682,793.17,98,7
"JR",2011,2252,381,125,237,1071,136,3,52,0,0,0,0,0,0,0,43.7165,-95.0372,205.600211267682,793.17,135,7
"M1500",2010,752,21,57,299,92,184,0,42,0,0,0,0,0,0,0,43.5863,-94.3405,1886.96289035321,0.07,90,7
"M1500",2011,1030,32,119,364,171,247,2,40,0,0,0,0,0,0,0,43.5863,-94.3405,1886.96289035321,0.07,149,7
"M500",2010,1300,25,149,341,402,246,1,85,0,0,0,0,0,0,0,43.5763,-94.3529,625.852769572317,0.67,93,7
"M500",2011,1415,38,207,450,353,259,1,42,0,0,0,0,0,0,0,43.5763,-94.3529,625.852769572317,0.67,187,7
"M5K",2010,257,9,33,32,95,60,0,17,0,0,0,0,0,0,0,43.5749,-94.2953,5249.31078628032,0.67,85,7
"MR",2010,7559,110,577,2458,1772,2084,4,164,0,0,0,0,0,0,0,43.576,-94.3591,133.476936588206,0.67,80,7
"MR",2011,7610,299,422,1743,2869,1802,10,90,0,0,0,0,0,0,0,43.576,-94.3591,133.476936588206,0.67,166,7
"Texas1",2010,282,2,72,18,6,0,0,128,0,0,37,0,0,0,8,33.7118,-97.4159,2814.11788936809,0.14,79,7
"Texas1",2011,565,5,319,14,12,0,0,98,0,0,74,0,0,0,18,33.7118,-97.4159,2814.11788936809,0.14,110,7
"Texas1",2012,179,2,69,8,4,0,0,41,0,0,31,0,0,0,7,33.7118,-97.4159,2814.11788936809,0.14,104,7
"Texas2",2010,247,2,63,13,6,0,0,109,0,0,42,0,0,0,1,33.7295,-97.3642,2550.19401956728,0.16,73,7
"Texas2",2011,623,5,195,30,3,0,0,178,0,0,159,0,0,0,30,33.7295,-97.3642,2550.19401956728,0.16,116,7
"Texas2",2012,342,2,176,10,7,0,0,49,0,0,74,0,0,0,10,33.7295,-97.3642,2550.19401956728,0.16,101,7
"Texas3",2010,238,1,90,3,9,0,0,72,0,0,39,0,0,0,11,33.751,-97.3887,5230.99922414746,0.16,61,7
"Texas3",2012,257,0,96,3,1,0,0,30,0,0,107,0,0,0,8,33.751,-97.3887,5230.99922414746,0.16,48,7
"TG1500",2010,242,8,45,54,70,26,1,21,0,0,0,0,0,0,0,43.7328,-96.3149,10090.608912388,0.05,95,7
"TG1500",2011,608,12,121,174,192,43,0,37,0,0,0,0,0,0,0,43.7328,-96.3149,10090.608912388,0.05,171,7
"TG500",2010,51,4,12,13,10,4,0,4,0,0,0,0,0,0,0,43.7288,-96.3022,9018.09378119692,0.05,94,7
"TG500",2011,205,4,46,24,79,17,1,23,0,0,0,0,0,0,0,43.7288,-96.3022,9018.09378119692,0.05,188,7
"TG5K",2010,53,1,5,12,14,4,0,10,0,0,0,0,0,0,0,43.7288,-96.3522,9181.13234646111,0.02,83,7
"TGR",2010,34,1,9,3,13,2,0,2,0,0,0,0,0,0,0,43.7314,-96.2863,7799.71977215288,0.05,85,7
"TGR",2011,167,10,32,26,65,17,0,3,0,0,0,0,0,0,0,43.7314,-96.2863,7799.71977215288,0.05,168,7
"Texas4",2010,157,3,65,0,1,0,0,53,0,0,23,0,0,0,3,33.7241,-97.442,1115.53391759943,0.14,53,7
"Texas4",2011,1636,5,883,44,24,0,0,228,0,0,341,0,0,0,60,33.7241,-97.442,1115.53391759943,0.14,121,7
"Texas4",2012,327,1,150,17,3,0,0,33,0,0,105,0,0,0,5,33.7241,-97.442,1115.53391759943,0.14,80,7
"ROSE1",2010,89,3,16,27,28,5,0,5,0,0,0,0,0,0,0,43.843,-96.3117,6325.33051205528,0.04,71,7
"ROSE1",2011,69,2,8,12,38,5,0,3,0,0,0,0,0,0,0,43.843,-96.3117,6325.33051205528,0.04,180,7
"ROSE2",2010,29,1,6,2,11,1,0,5,0,0,0,0,0,0,0,43.8046,-96.3017,7477.87748567851,0.04,69,7
"ROSE2",2011,41,0,8,5,21,1,0,5,0,0,0,0,0,0,0,43.8046,-96.3017,7477.87748567851,0.04,135,7
"ROSE3",2010,88,4,11,8,46,7,0,7,0,0,0,0,0,0,0,43.7834,-96.2911,8674.51847885514,0.02,57,7
"ROSE3",2011,41,0,5,3,23,3,0,1,0,0,0,0,0,0,0,43.7834,-96.2911,8674.51847885514,0.02,185,7
"ROSE4",2010,27,3,6,0,15,1,0,2,0,0,0,0,0,0,0,43.7691,-96.3311,8018.74041915832,0.04,69,7
"ROSE4",2011,52,4,4,11,22,1,0,2,0,0,0,0,0,0,0,43.7691,-96.3311,8018.74041915832,0.04,186,7
"Paynesville1",2010,2543,25,30,1862,383,43,0,21,0,0,0,0,0,0,0,45.4131,-94.7629,12.8334838569292,0.65,50,7
"Paynesville1",2011,3940,30,58,2873,565,123,0,25,0,0,0,0,0,0,0,45.4131,-94.7629,12.8334838569292,0.65,126,7
"Paynesville1",2012,7027,179,196,4585,1370,247,2,69,0,0,0,0,0,0,0,45.4131,-94.7629,12.8334838569292,0.65,130,7
"Paynesville2",2010,191,11,15,76,47,18,0,8,0,0,0,0,0,0,0,45.456,-94.7037,3568.21347438038,0.05,66,7
"Paynesville2",2011,428,4,9,74,277,37,0,5,0,0,0,0,0,0,0,45.456,-94.7037,3568.21347438038,0.05,115,7
"Paynesville2",2012,1446,50,158,352,658,106,2,33,0,0,0,0,0,0,0,45.456,-94.7037,3568.21347438038,0.05,108,7
"Paynesville3",2010,244,3,33,79,76,22,0,19,0,0,0,0,0,0,0,45.4723,-94.7431,3978.28850259776,125.369,60,7
"Paynesville3",2011,522,13,80,77,214,90,0,21,0,0,0,0,0,0,0,45.4723,-94.7431,3978.28850259776,125.369,63,7
"Paynesville3",2012,1422,40,227,578,328,96,0,81,0,0,0,0,0,0,0,45.4723,-94.7431,3978.28850259776,125.369,142,7
"Paynesville4",2010,35,2,13,11,2,3,0,4,0,0,0,0,0,0,0,45.4481,-94.7433,3079.69172910375,0.65,38,7
"Paynesville4",2011,183,5,9,25,122,9,0,2,0,0,0,0,0,0,0,45.4481,-94.7433,3079.69172910375,0.65,95,7
"Paynesville4",2012,389,17,78,59,171,18,0,23,0,0,0,0,0,0,0,45.4481,-94.7433,3079.69172910375,0.65,127,7
"J200",2011,668,21,105,274,164,52,0,19,0,0,0,0,0,0,0,43.719,-95.0346,541.453714004286,793.17,183,7
"M200",2011,2959,78,351,900,793,613,1,108,0,0,0,0,0,0,0,43.5761,-94.3569,305.074693267565,0.67,193,7
"TOP2",2011,3821,35,565,257,1084,1387,10,221,0,0,0,0,0,0,0,43.386294,-93.38923,1041.25103476352,0.53,167,7
"TOP2",2012,5404,68,913,487,652,2579,5,430,0,0,0,0,0,0,0,43.386294,-93.38923,1041.25103476352,0.53,122,7
"TOP3",2011,2994,121,308,138,735,1291,12,121,0,0,0,0,0,0,0,43.3733,-93.4083,2892.09456230197,0.53,159,7
"TOP3",2012,3392,64,575,110,231,1915,9,202,0,0,0,0,0,0,0,43.3733,-93.4083,2892.09456230197,0.53,129,7
"TOP4",2011,930,21,130,102,105,496,1,45,0,0,0,0,0,0,0,43.3563,-93.379,3991.96470885428,0.06,163,7
"TOP4",2012,3029,73,604,290,382,1365,3,205,0,0,0,0,0,0,0,43.3563,-93.379,3991.96470885428,0.06,128,7
"BM200",2011,153,5,25,37,61,11,0,3,0,0,0,0,0,0,0,43.7034,-96.2192,2838.10967296522,0.05,170,7
"BM500",2011,214,4,24,64,81,14,0,7,0,0,0,0,0,0,0,43.6963,-96.2274,3743.00431511028,0.05,139,7
"BUFF1",2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.1626,-96.1657,6499.69843134677,0.04,197,7
"BUFF1",2012,426,15,82,157,134,7,0,12,0,0,0,0,0,0,0,44.1626,-96.1657,6499.69843134677,0.04,113,7
"BUFF2",2011,71,5,11,20,24,7,0,0,0,0,0,0,0,0,0,44.1532,-96.1491,5719.67154125999,182.602,161,7
"BUFF2",2012,235,13,38,57,64,27,0,19,0,0,0,0,0,0,0,44.1532,-96.1491,5719.67154125999,182.602,131,7
"BUFF4",2011,167,10,12,78,44,5,0,10,0,0,0,0,0,0,0,44.1013,-96.0841,296.475045655045,0.01,152,7
"BUFF4",2012,924,22,54,517,241,26,0,13,0,0,0,0,0,0,0,44.1013,-96.0841,296.475045655045,0.01,137,7
"TG200",2011,13,0,4,3,1,1,0,1,0,0,0,0,0,0,0,43.7328,-96.2971,8681.0691724125,0.05,58,7
"BLUE1",2011,264,5,21,97,50,81,0,8,0,0,0,0,0,0,0,43.9068,-88.302,1651.55847239056,0.03,96,7
"BLUE1",2012,648,20,45,177,197,156,2,17,0,0,0,0,0,0,0,43.9068,-88.302,1651.55847239056,0.03,151,7
"BLUE2",2011,4935,330,419,1247,1030,1335,31,172,0,0,0,0,0,0,0,43.8476,-88.277,1640.52091986541,0.31,179,7
"BLUE2",2012,4557,669,406,1214,610,1093,59,256,0,0,0,0,0,0,0,43.8476,-88.277,1640.52091986541,0.31,139,7
"CEDAR1",2011,860,48,77,133,211,252,12,44,0,0,0,0,0,0,0,43.7338,-88.2859,1476.91968832014,0.23,147,7
"CEDAR1",2012,2158,90,224,547,507,494,7,203,0,0,0,0,0,0,0,43.7338,-88.2859,1476.91968832014,0.23,156,7
"CEDAR2",2011,38,0,6,20,7,1,0,2,0,0,0,0,0,0,0,43.718,-88.2956,0,0.23,58,7
"CEDAR2",2012,914,21,90,346,165,183,1,45,0,0,0,0,0,0,0,43.718,-88.2956,0,0.23,152,7
"CEDAR3",2011,1518,53,224,221,250,542,10,95,0,0,0,0,0,0,0,43.7209,-88.3208,718.268206247896,0.27,184,7
"CEDAR3",2012,2345,64,341,322,564,705,6,249,0,0,0,0,0,0,0,43.7209,-88.3208,718.268206247896,0.27,158,7
"TOP1",2011,5475,35,738,404,418,3413,5,218,0,0,0,0,0,0,0,43.3936,-93.4608,479.166948176765,0.02,152,7
"TOP1",2012,3859,53,433,494,408,2118,2,160,0,0,0,0,0,0,0,43.3936,-93.4608,479.166948176765,0.02,124,7
"BLUE3",2011,7069,376,965,1597,1295,1924,212,329,0,0,0,0,0,0,0,43.8921,-88.2439,58.8132910864688,11.75,157,7
"BLUE3",2012,7620,520,790,1917,1700,1818,14,552,0,0,0,0,0,0,0,43.8921,-88.2439,58.8132910864688,11.75,149,7
"BLUE4",2011,1394,9,164,413,212,497,2,37,0,0,0,0,0,0,0,43.8727,-88.2356,785.529032103934,0.54,148,7
"BLUE4",2012,1473,11,201,347,216,547,1,74,0,0,0,0,0,0,0,43.8727,-88.2356,785.529032103934,0.54,140,7
"CEDAR4",2011,881,44,72,279,285,118,0,25,0,0,0,0,0,0,0,43.6994,-88.3306,1336.51983242109,0.04,150,7
"CEDAR4",2012,1159,73,156,232,279,247,4,100,0,0,0,0,0,0,0,43.6994,-88.3306,1336.51983242109,0.04,146,7
"OAK1",2011,3384,269,284,423,317,1792,22,91,0,0,0,0,0,0,0,43.9346,-93.1056,39.394344598027,0.52,108,7
"OAK1",2012,6901,215,936,477,595,3795,28,370,0,0,0,0,0,0,0,43.9346,-93.1056,39.394344598027,0.52,134,7
"OAK2",2011,684,6,93,68,152,294,0,36,0,0,0,0,0,0,0,43.9191,-93.1508,2770.47887417884,0.26,146,7
"OAK3",2011,10045,397,890,1492,1768,4484,10,419,0,0,0,0,0,0,0,43.903,-93.1556,1095.65612803609,0.23,158,7
"OAK3",2012,7365,693,580,1097,2013,2225,8,171,0,0,0,0,0,0,0,43.903,-93.1556,1095.65612803609,0.23,113,7
"OAK4",2011,1744,28,213,256,133,928,3,76,0,0,0,0,0,0,0,43.8993,-93.1252,160.045671063111,0.26,146,7
"OAK4",2012,4095,142,716,535,530,1776,9,215,0,0,0,0,0,0,0,43.8993,-93.1252,160.045671063111,0.26,133,7
"PB_corridor",2011,601,11,32,88,368,36,2,8,0,0,0,0,0,0,0,44.2117,-87.5121,367.996216495393,52823.5,37,7
"PB_northbeach",2011,187,3,31,42,40,47,1,11,0,0,0,0,0,0,0,44.241315,-87.51903,189.200597873726,0.3,36,7
"PB_northbeach",2012,22258,559,3502,2248,3031,10873,28,1060,0,0,0,0,0,0,0,44.241315,-87.51903,189.200597873726,0.3,177,7
"PB_northbeach",2013,19500,2160,3319,2003,4381,5935,121,707,0,0,0,0,0,0,0,44.241315,-87.51903,189.200597873726,0.3,192,7
"PBIN_1km",2011,307,6,59,79,57,72,2,11,0,0,0,0,0,0,0,44.2534,-87.533,1042.10392885113,56693.27,37,7
"PA1",2011,146,7,10,25,42,34,0,9,0,0,3,0,0,0,0,39.8434,-79.1388,3330.0509401695,0.02,54,10
"PA2",2011,972,21,121,40,235,264,0,131,9,0,76,0,0,0,0,39.8505,-79.1379,3720.0757583597,67.9046,58,10
"PA3",2011,818,49,102,90,273,81,2,100,2,2,76,0,0,0,0,39.8565,-79.1432,3488.49036865107,67.9046,62,10
"PA4",2011,649,29,64,9,248,72,1,110,10,2,55,0,0,0,0,39.8653,-79.1437,2848.41564543368,67.9046,61,10
"PA5",2011,219,20,26,11,39,26,1,43,3,1,19,0,0,0,0,39.8716,-79.1436,2383.14039919979,67.9046,34,10
"PA6",2011,247,2,23,44,47,34,1,35,2,4,21,0,0,0,0,39.8584,-79.1123,2091.76642712215,67.9046,50,10
"PA7",2011,368,11,26,86,56,64,1,72,2,0,28,0,0,0,0,39.8677,-79.0998,1094.74137926918,67.9046,42,10
"PA8",2011,803,14,108,71,140,146,1,163,4,2,92,0,0,0,0,39.8701,-79.0965,706.530326439478,67.9046,66,10
"FOREST",2011,718,63,103,35,168,205,1,98,0,0,0,0,0,0,0,43.462072,-87.81079,376.804179052987,52823.5,40,7
"FOREST",2012,824,21,102,76,100,368,17,71,0,0,0,0,0,0,0,43.462072,-87.81079,376.804179052987,52823.5,74,7
"FOREST",2013,11318,347,1452,1561,1663,4090,41,779,0,0,0,0,0,0,0,43.462072,-87.81079,376.804179052987,52823.5,184,7
"Kewaunee",2011,3464,58,551,614,515,1284,4,212,0,0,0,0,0,0,0,44.464364,-87.495064,0,56693.27,73,7
"Kewaunee",2012,15052,136,4587,2751,1357,4675,16,897,0,0,0,0,0,0,0,44.464364,-87.495064,0,56693.27,204,7
"Kewaunee",2013,10669,260,1509,1488,1253,4970,7,522,0,0,0,0,0,0,0,44.464364,-87.495064,0,56693.27,179,7
"Kewaunee-3mi",2011,6751,134,1132,313,690,3851,8,357,0,0,0,0,0,0,0,44.4594,-87.5504,471.400039346863,0.07,67,7
"Kewaunee-3mi",2012,43720,613,11073,1630,3049,24458,40,1409,0,0,0,0,0,0,0,44.4594,-87.5504,471.400039346863,0.07,210,7
"Kewaunee-3mi",2013,23906,348,2551,638,579,18082,71,561,0,0,0,0,0,0,0,44.4594,-87.5504,471.400039346863,0.07,195,7
"LSSP",2011,5573,63,1774,1564,1634,97,0,138,0,0,0,0,0,0,0,43.0313,-87.8951,0,52823.5,110,7
"LSSP",2012,1454,9,422,472,429,18,0,22,0,0,0,0,0,0,0,43.0313,-87.8951,0,52823.5,48,7
"MAY",2011,3416,224,1127,510,841,373,4,164,0,0,0,0,0,0,0,43.7803,-87.7564,863.43484392377,0.03,83,7
"MAY",2012,6549,1871,404,1586,2112,115,5,22,0,0,0,0,0,0,0,43.7803,-87.7564,863.43484392377,0.03,54,7
"SWU",2011,10274,149,5170,1126,2000,566,0,778,0,0,0,0,0,0,0,43.7664,-87.7005,69.1063878433059,56693.27,75,7
"SWU",2012,706,14,268,181,128,47,0,25,0,0,0,0,0,0,0,43.7664,-87.7005,69.1063878433059,56693.27,38,7
"WASH",2011,2811,66,455,1015,917,74,0,59,0,0,0,0,0,0,0,43.0548305556,-87.9667805556,23.395545432674,0.05,64,7
"WASH",2012,1285,43,9,563,604,0,0,0,0,0,0,0,0,0,0,43.0548305556,-87.9667805556,23.395545432674,0.05,25,7
"PB_dune",2011,6054,198,1295,449,1488,1824,13,473,0,0,0,0,0,0,0,44.204541579,-87.521754684,207.199342150787,4.37,67,7
"PBIN_6km",2011,165,10,36,4,33,61,0,12,0,0,0,0,0,0,0,44.26625923,-87.601937417,3362.97581910981,0.76,60,7
"PBIN_6km",2012,769,16,266,112,52,187,2,63,0,0,0,0,0,0,0,44.26625923,-87.601937417,3362.97581910981,0.76,86,7
"MEARS",2011,7120,509,1500,918,2696,657,6,511,0,0,0,0,0,0,0,43.7838,-86.4365,303.815332437016,56693.27,83,7
"MEARS",2012,4834,339,182,384,3479,188,7,34,0,0,0,0,0,0,0,43.7838,-86.4365,303.815332437016,56693.27,64,7
"MUSK",2011,1708,50,682,276,338,100,1,157,0,0,0,0,0,0,0,43.2358,-86.3326,458.260224403565,19,87,7
"MUSK",2012,1022,36,167,83,641,25,0,8,0,0,0,0,0,0,0,43.2358,-86.3326,458.260224403565,19,75,7
"BAILEY",2011,7816,34,721,132,106,5769,19,712,0,0,0,0,0,0,0,45.1044,-87.0528,145.48945379176,56693.27,59,7
"BAILEY",2012,58118,153,4494,813,495,43782,121,5442,0,0,0,0,0,0,0,45.1044,-87.0528,145.48945379176,56693.27,203,7
"BAILEY",2013,66271,392,7134,259,911,51777,446,2816,0,0,0,0,0,0,0,45.1044,-87.0528,145.48945379176,56693.27,172,7
"BETSIE",2011,3055,60,1473,245,465,440,3,198,0,0,0,0,0,0,0,44.6913,-86.2545,54.8428680917035,52823.5,85,7
"BETSIE",2012,6138,183,346,203,4812,249,5,34,0,0,0,0,0,0,0,44.6913,-86.2545,54.8428680917035,52823.5,69,7
"MUD",2011,9666,90,1429,113,276,6680,108,407,0,0,0,0,0,0,0,45.1164,-87.1077,0,33.92,60,7
"MUD",2012,71713,532,9752,718,800,50814,2765,2880,0,0,0,0,0,0,0,45.1164,-87.1077,0,33.92,212,7
"MUD",2013,78010,667,5964,478,1029,61375,1855,2089,0,0,0,0,0,0,0,45.1164,-87.1077,0,33.92,187,7
"ORCHARD",2011,4842,161,1571,484,1136,717,5,455,0,0,0,0,0,0,0,44.2791,-86.3172,111.488161174047,56693.27,77,7
"ORCHARD",2012,11638,1066,1988,755,6504,512,8,238,0,0,0,0,0,0,0,44.2791,-86.3172,111.488161174047,56693.27,76,7
"PSCAL2",2011,1564,31,361,45,0,0,0,44,0,0,792,0,10,162,78,27.13,-97.4604,1622.82939261003,0.02,61,8
"PSCAL3",2011,10688,29,3528,266,0,0,0,194,0,0,5273,0,3,313,782,27.1025,-97.5284,2202.6066638019,0.05,70,8
"PSCAL4",2011,2489,46,400,29,0,0,0,217,0,0,1506,0,9,133,67,27.0844,-97.5238,2166.9918517703,0.09,65,8
"PSCAL6",2011,1071,28,173,50,0,0,0,59,0,0,479,0,4,128,105,27.0215,-97.4993,722.476639795447,0.05,70,8
"PSCAL7",2011,1190,25,298,41,0,0,0,22,0,0,633,0,9,50,63,27.0149,-97.5079,1260.08705181375,0.05,65,8
"PSCAL8",2011,4947,29,1356,79,0,0,0,250,0,0,2777,0,0,158,133,27.1478,-97.5664,249.907098043893,0.09,64,8
"NORTH",2011,5291,183,1897,706,1802,152,2,304,0,0,0,0,0,0,0,43.0834,-86.2527,154.093888700503,52823.5,80,7
"NORTH",2012,3525,111,517,314,2294,53,3,67,0,0,0,0,0,0,0,43.0834,-86.2527,154.093888700503,52823.5,76,7
"HOLLAND",2011,1640,64,609,99,378,131,0,301,0,0,0,0,0,0,0,42.7752,-86.208,239.050110803609,7.28,82,7
"HOLLAND",2012,1698,298,137,95,1020,33,0,16,0,0,0,0,0,0,0,42.7752,-86.208,239.050110803609,7.28,64,7
"RadarF11_Batman-PortHope1",2011,3291,121,523,604,915,902,3,0,0,0,0,0,0,0,0,43.953971,-82.726857,536.561800253332,20110.53,74,6
"RadarF11_Batman-PortHope2",2011,3553,284,1119,232,1161,604,5,0,0,0,0,0,0,0,0,43.953204,-82.768785,3739.0949766083,42496.7,80,6
"PSCAL5",2011,2619,19,1171,67,0,0,0,39,0,0,1056,0,4,96,76,27.0323,-97.5179,663.390635474447,0.05,56,8
"EVANGOLA",2011,5282,21,920,225,405,2995,15,423,0,0,0,0,0,0,0,42.6075,-79.1013,928.459576328417,12024.83,29,7
"EVANGOLA",2012,8401,41,1449,422,604,3752,5,1795,0,0,0,0,0,0,0,42.6075,-79.1013,928.459576328417,12024.83,68,7
"RadarF11_Robin-Shelby1",2011,998,4,447,133,180,176,1,0,0,0,0,0,0,0,0,43.6166060296,-86.5231545877,1163.81277539507,52823.5,57,6
"RadarF11_Robin-Shelby2",2011,2720,71,1011,146,372,986,8,0,0,0,0,0,0,0,0,43.62086948,-86.5135401903,2010.14702820473,56693.27,67,6
"TIFFT",2011,470,3,90,91,54,161,0,51,0,0,0,0,0,0,0,42.885476583,-78.882574422,336.400384118935,0.36,30,7
"TIFFT",2012,1794,33,138,364,301,858,1,65,0,0,0,0,0,0,0,42.885476583,-78.882574422,336.400384118935,0.36,68,7
"WEHLE",2011,217,3,34,21,105,30,0,13,0,0,0,0,0,0,0,43.875,-76.268611111,325.376954264626,6621.79,22,7
"WEHLE",2012,6503,155,2599,696,1898,507,6,305,0,0,0,0,0,0,0,43.875,-76.268611111,325.376954264626,6621.79,229,7
"WEHLE",2013,4651,321,1356,565,1575,387,9,165,0,0,0,0,0,0,0,43.875,-76.268611111,325.376954264626,6621.79,160,7
"CEDAR",2011,5211,39,2439,229,254,627,3,1343,0,0,0,0,0,0,0,41.6875,-83.3056,0,6.68,56,7
"CEDAR",2012,3884,106,801,807,1557,293,3,117,0,0,0,0,0,0,0,41.6875,-83.3056,0,6.68,80,7
"Paynesville5",2012,3890,494,74,724,1778,68,1,13,0,0,0,0,0,0,0,45.4143,-94.7641,0,0.65,160,7
"Paynesville6",2012,1433,101,191,524,392,68,2,58,0,0,0,0,0,0,0,45.413,-94.7644,93.8408226382158,0.65,118,7
"Paynesville7",2012,904,35,128,236,353,69,1,40,0,0,0,0,0,0,0,45.4211,-94.7633,0,0.65,138,7
"BUFF3",2012,6276,339,317,3118,1932,85,3,43,0,0,0,0,0,0,0,44.1333,-96.0438,134.17311692325,0.14,159,7
"RadarS12_Robin-PennShore1",2012,11643,173,735,2681,908,6287,11,307,39,0,0,0,0,0,0,42.21984,-79.86734,1186.59587264865,25718.8,82,8
"Paynesville8",2012,871,51,61,270,349,66,0,17,0,0,0,0,0,0,0,45.4268,-94.7626,618.491096048042,0.65,130,7
"Kewaunee-6mi",2012,44938,6483,12094,7096,10556,4235,463,1250,0,0,0,0,0,0,0,44.474052,-87.638468,0,8.53,205,7
"Kewaunee-6mi",2013,32127,8554,2821,5418,8820,2558,639,810,0,0,0,0,0,0,0,44.474052,-87.638468,0,8.53,198,7
"PBIN_15km",2012,8717,341,2397,1271,1038,2279,158,648,0,0,0,0,0,0,0,44.282535,-87.716433,1196.12760421229,0.06,207,7
"PBIN_15km",2013,7437,303,981,1392,1209,2217,66,361,0,0,0,0,0,0,0,44.282535,-87.716433,1196.12760421229,0.06,184,7
"PBIN_4.5km",2012,4530,223,916,1088,353,1439,24,195,0,0,0,0,0,0,0,44.284,-87.592,2486.36694741242,0.06,196,7
"PBIN_4.5km",2013,9655,125,1346,3139,694,1589,7,252,0,0,0,0,0,0,0,44.284,-87.592,2486.36694741242,0.06,177,7
"Forest-10mi",2012,16996,429,2843,2716,2438,6658,22,946,0,0,0,0,0,0,0,43.439477,-88.023234,236.403750609396,135.023,208,7
"Forest-10mi",2013,30255,805,3193,3782,2810,16779,38,1071,0,0,0,0,0,0,0,43.439477,-88.023234,236.403750609396,135.023,188,7
"Forest-6mi",2012,1215,45,415,184,188,216,1,72,0,0,0,0,0,0,0,43.474254,-87.941583,1839.95136222622,0.04,84,7
"Forest-6mi",2013,6410,84,2863,702,338,1566,7,334,0,0,0,0,0,0,0,43.474254,-87.941583,1839.95136222622,0.04,191,7
"GARDEN1",2012,33115,586,0,377,1016,25701,119,3210,0,0,0,0,0,0,0,45.716,-86.666,280.070672756587,56693.27,190,6
"GARDEN2",2012,18916,497,0,42,296,15747,137,900,0,0,0,0,0,0,0,45.746944,-86.535961,0,2.91,214,6
"Kewaunee-10mi",2012,10858,412,4472,3162,1243,603,21,352,0,0,0,0,0,0,0,44.458046,-87.768327,5709.95870721649,1.94,211,7
"Kewaunee-10mi",2013,9787,310,2849,3629,1778,493,9,164,0,0,0,0,0,0,0,44.458046,-87.768327,5709.95870721649,1.94,195,7
"RadarS12_Batman-Joppa1",2012,4783,53,762,1333,1424,490,0,281,14,0,182,0,0,0,0,41.38148,-82.4379,1336.79216621562,25718.8,73,10
"RadarS12_Batman-Joppa2",2012,376,37,47,28,213,19,0,2,0,0,17,0,0,0,0,41.37456,-82.43628,2094.16571291544,25718.8,73,10
"RadarS12_Robin-PennShore2",2012,8376,346,1394,858,2690,2332,8,324,10,0,0,0,0,0,0,42.20977,-79.91969,21.034465016578,25718.8,67,8
"ERIE-E",2012,9082,213,849,622,933,3959,12,778,11,24,1222,0,0,0,0,42.015,-80.3794,651.804111727052,25718.8,65,10
